image_path,age,age_category,class,gender,ethnicity
40_0_3_20170109003040502.jpg.chip.jpg,40,"(30, 40]",3,0,3.0
28_1_3_20170104222837663.jpg.chip.jpg,28,"(20, 30]",2,1,3.0
6_1_0_20170109201856463.jpg.chip.jpg,6,"(0, 10]",0,1,0.0
50_0_3_20170119205528760.jpg.chip.jpg,50,"(40, 50]",4,0,3.0
39_1_3_20170104223518221.jpg.chip.jpg,39,"(30, 40]",3,1,3.0
36_1_1_20170116174213892.jpg.chip.jpg,36,"(30, 40]",3,1,1.0
37_0_2_20170117140013545.jpg.chip.jpg,37,"(30, 40]",3,0,2.0
62_0_1_20170113175129604.jpg.chip.jpg,62,"(60, 70]",6,0,1.0
4_1_0_20170109193813519.jpg.chip.jpg,4,"(0, 10]",0,1,0.0
28_1_1_20170112204611851.jpg.chip.jpg,28,"(20, 30]",2,1,1.0
38_1_1_20170116160301002.jpg.chip.jpg,38,"(30, 40]",3,1,1.0
82_0_2_20170111210612356.jpg.chip.jpg,82,"(80, 90]",8,0,2.0
5_0_1_20170110213654372.jpg.chip.jpg,5,"(0, 10]",0,0,1.0
17_0_1_20170114025858837.jpg.chip.jpg,17,"(10, 20]",1,0,1.0
8_0_0_20170110220124291.jpg.chip.jpg,8,"(0, 10]",0,0,0.0
55_0_3_20170119171327855.jpg.chip.jpg,55,"(50, 60]",5,0,3.0
29_0_2_20170116163545392.jpg.chip.jpg,29,"(20, 30]",2,0,2.0
54_0_0_20170117155530206.jpg.chip.jpg,54,"(50, 60]",5,0,0.0
65_1_3_20170119202621117.jpg.chip.jpg,65,"(60, 70]",6,1,3.0
8_1_0_20170109204756399.jpg.chip.jpg,8,"(0, 10]",0,1,0.0
30_0_0_20170117003435100.jpg.chip.jpg,30,"(20, 30]",2,0,0.0
30_0_1_20170113134204447.jpg.chip.jpg,30,"(20, 30]",2,0,1.0
67_0_0_20170112205632732.jpg.chip.jpg,67,"(60, 70]",6,0,0.0
19_0_0_20170116212106328.jpg.chip.jpg,19,"(10, 20]",1,0,0.0
39_0_0_20170112215032192.jpg.chip.jpg,39,"(30, 40]",3,0,0.0
56_0_3_20170105180725694.jpg.chip.jpg,56,"(50, 60]",5,0,3.0
16_0_0_20170110231529568.jpg.chip.jpg,16,"(10, 20]",1,0,0.0
40_0_0_20170109012159348.jpg.chip.jpg,40,"(30, 40]",3,0,0.0
43_1_3_20170119204557143.jpg.chip.jpg,43,"(40, 50]",4,1,3.0
57_1_0_20170110120803050.jpg.chip.jpg,57,"(50, 60]",5,1,0.0
7_1_0_20170109200933192.jpg.chip.jpg,7,"(0, 10]",0,1,0.0
37_0_1_20170116214356844.jpg.chip.jpg,37,"(30, 40]",3,0,1.0
45_1_0_20170103163311263.jpg.chip.jpg,45,"(40, 50]",4,1,0.0
36_1_0_20170103183426794.jpg.chip.jpg,36,"(30, 40]",3,1,0.0
54_0_3_20170119210231791.jpg.chip.jpg,54,"(50, 60]",5,0,3.0
30_1_0_20170116214239576.jpg.chip.jpg,30,"(20, 30]",2,1,0.0
47_0_1_20170117021247110.jpg.chip.jpg,47,"(40, 50]",4,0,1.0
44_0_1_20170117172018631.jpg.chip.jpg,44,"(40, 50]",4,0,1.0
30_1_4_20170103213106156.jpg.chip.jpg,30,"(20, 30]",2,1,4.0
35_0_3_20170119201446469.jpg.chip.jpg,35,"(30, 40]",3,0,3.0
53_0_0_20170120223133507.jpg.chip.jpg,53,"(50, 60]",5,0,0.0
36_0_0_20170117135442285.jpg.chip.jpg,36,"(30, 40]",3,0,0.0
53_1_3_20170119205926527.jpg.chip.jpg,53,"(50, 60]",5,1,3.0
40_0_0_20170117192150908.jpg.chip.jpg,40,"(30, 40]",3,0,0.0
47_0_0_20170117190246626.jpg.chip.jpg,47,"(40, 50]",4,0,0.0
29_0_1_20170117095002119.jpg.chip.jpg,29,"(20, 30]",2,0,1.0
29_1_2_20170116174619470.jpg.chip.jpg,29,"(20, 30]",2,1,2.0
30_1_0_20170117141245568.jpg.chip.jpg,30,"(20, 30]",2,1,0.0
41_1_0_20170109133809164.jpg.chip.jpg,41,"(40, 50]",4,1,0.0
67_0_0_20170104184245598.jpg.chip.jpg,67,"(60, 70]",6,0,0.0
52_0_3_20170104214700621.jpg.chip.jpg,52,"(50, 60]",5,0,3.0
51_0_1_20170113174654644.jpg.chip.jpg,51,"(50, 60]",5,0,1.0
5_0_3_20161220220614792.jpg.chip.jpg,5,"(0, 10]",0,0,3.0
14_1_2_20170109204853921.jpg.chip.jpg,14,"(10, 20]",1,1,2.0
29_1_1_20170113000121657.jpg.chip.jpg,29,"(20, 30]",2,1,1.0
50_1_3_20170104235532885.jpg.chip.jpg,50,"(40, 50]",4,1,3.0
66_1_0_20170117175408412.jpg.chip.jpg,66,"(60, 70]",6,1,0.0
76_0_1_20170116205210541.jpg.chip.jpg,76,"(70, 80]",7,0,1.0
44_1_3_20170119165329470.jpg.chip.jpg,44,"(40, 50]",4,1,3.0
55_0_0_20170117184812800.jpg.chip.jpg,55,"(50, 60]",5,0,0.0
14_1_0_20170109204918699.jpg.chip.jpg,14,"(10, 20]",1,1,0.0
60_1_0_20170112231837159.jpg.chip.jpg,60,"(50, 60]",5,1,0.0
37_1_1_20170112215450519.jpg.chip.jpg,37,"(30, 40]",3,1,1.0
5_0_0_20170109193414770.jpg.chip.jpg,5,"(0, 10]",0,0,0.0
6_1_3_20161220222431162.jpg.chip.jpg,6,"(0, 10]",0,1,3.0
54_1_3_20170109150539338.jpg.chip.jpg,54,"(50, 60]",5,1,3.0
36_0_0_20170116210312217.jpg.chip.jpg,36,"(30, 40]",3,0,0.0
42_0_0_20170117135651920.jpg.chip.jpg,42,"(40, 50]",4,0,0.0
7_1_0_20170109193140411.jpg.chip.jpg,7,"(0, 10]",0,1,0.0
28_0_1_20170113173600097.jpg.chip.jpg,28,"(20, 30]",2,0,1.0
35_1_3_20170104231848138.jpg.chip.jpg,35,"(30, 40]",3,1,3.0
55_0_0_20170105161419947.jpg.chip.jpg,55,"(50, 60]",5,0,0.0
80_0_0_20170117175148148.jpg.chip.jpg,80,"(70, 80]",7,0,0.0
17_0_0_20170114025913647.jpg.chip.jpg,17,"(10, 20]",1,0,0.0
45_1_0_20170119192452937.jpg.chip.jpg,45,"(40, 50]",4,1,0.0
8_1_0_20170109204452579.jpg.chip.jpg,8,"(0, 10]",0,1,0.0
61_1_0_20170110123303836.jpg.chip.jpg,61,"(60, 70]",6,1,0.0
8_1_0_20170109204818624.jpg.chip.jpg,8,"(0, 10]",0,1,0.0
8_1_0_20170109204534346.jpg.chip.jpg,8,"(0, 10]",0,1,0.0
58_0_1_20170113182450903.jpg.chip.jpg,58,"(50, 60]",5,0,1.0
5_1_0_20170109194115394.jpg.chip.jpg,5,"(0, 10]",0,1,0.0
96_1_0_20170110173805290.jpg.chip.jpg,96,"(90, 100]",9,1,0.0
19_0_2_20170104020121132.jpg.chip.jpg,19,"(10, 20]",1,0,2.0
